"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs","Enthalpy","Etherm","Cv","S","qp","alpha_avg","quad_avg"
"Nylon_66_1M",NA,"Yes",4,0,"-731.6918198","-731.386995","-731.311772",237.891,69.382,158.32,0.358522,147.104333333333,-98.4795333333333
"PBS_1M",NA,"Yes",4,0,"-574.8475693","-574.698340","-574.643082",127.725,43.154,116.299,0.391267,84.5601333333333,-57.0592666666667
"PE_2M",NA,"Yes",4,0,"-79.8304209","-79.778289","-79.750765",49.393,9.987,57.929,0.011377,22.921,-14.8860666666667
"PET_1M",NA,"Yes",4,0,"-688.0078333","-687.861451","-687.806690",125.627,47.575,115.254,0.358999,115.552233333333,-80.8438333333333
"Ploy_1_Butene_1M",NA,"Yes",4,0,"-157.2210723","-157.139544","-157.105864",71.702,17.642,70.886,0.148175,42.4394333333333,-26.8737333333333
"Poly_12_Butadiene_1M",NA,"Yes",4,0,"-157.2210724","-157.139544","-157.105863",71.703,17.642,70.889,0.14606,42.4395666666667,-26.8758666666667
"poly_acrylonitrile_1M",NA,"Yes",4,0,"-172.0686665","-172.020546","-171.988247",49.872,14.895,67.978,0.044096,33.6625,-30.5474666666667
"Poly_Chloroprene_1M",NA,"Yes",4,0,"-616.826249","-616.756744","-616.719331",66.499,21.539,78.741,-Inf,53.0217666666667,-38.4694666666667
"poly_ethyl_acrylate_1M",NA,"Yes",4,0,"-347.0219432","-346.908007","-346.864606",98.138,28.951,91.345,0.083721,58.4821666666667,-41.7129
"poly_isobutylene_1M",NA,"Yes",4,0,"-158.4588092","-158.354037","-158.319789",86.644,20.032,72.081,0.06352,43.8562333333333,-28.276
"Poly_Isoprene_1M",NA,"Yes",4,0,"-196.5435775","-196.436481","-196.398936",90.172,23.656,79.021,0.121836,54.5661333333333,-32.6811333333333
"poly_methyl_acrylate_1M",NA,"Yes",4,0,"-307.7031868","-307.615967","-307.575733",79.386,24.179,84.678,0.063037,47.6953,-34.5124
"poly_methyl_methacrylate_1M",NA,"Yes",4,0,"-347.0168454","-346.902984","-346.859611",98.073,29.546,91.285,0.07509,58.1232,-42.2039666666667
"Poly_pmethyl_Styrene_1M",NA,"Yes",4,0,"-350.1981147","-350.048671","-350.003070",121.8,33.859,95.977,0.113128,91.2222666666667,-53.2075
"Poly_propylene_oxdie_1M",NA,"Yes",4,0,"-194.3533101","-194.272203","-194.238449",71.484,18.843,71.041,0.383548,36.8415333333333,-24.9687
"poly_tert_butyl_acrylate_1M",NA,"Yes",4,0,"-425.6536809","-425.486954","-425.438094",134.69,40.591,102.833,0.105168,79.5593333333333,-56.0388
"poly_vinyl_acetate_1M",NA,"Yes",4,0,"-307.7072327","-307.620059","-307.579945",79.282,24.15,84.425,0.126216,47.8673,-38.7165666666667
"poly_vinyl_ethyl_ether_1M",NA,"Yes",4,0,"-233.6634482","-233.556092","-233.518226",90.536,22.647,79.696,0.069111,48.4894,-31.4686
"PP_1M",NA,"Yes",4,0,"-119.1442433","-119.065765","-119.034665",68.169,14.664,65.455,0.047306,33.4557,-21.5400666666667
"PS_1M",NA,"Yes",4,0,"-310.8802263","-310.755058","-310.714585",103.349,27.818,85.183,0.104638,78.1112666666667,-47.5931
"PVC_1M",NA,"Yes",4,0,"-539.4262589","-539.385365","-539.354170",44.644,12.418,65.655,-Inf,31.4259,-29.0120333333333
